Date,Open,High,Low,Close,Adj Close,Volume
2023-09-13,3760.949951,3823.949951,3731.199951,3813.699951,3813.699951,282452
2023-09-14,3845.000000,3850.000000,3775.000000,3808.050049,3808.050049,281679
2023-09-15,3819.850098,3820.000000,3770.000000,3796.000000,3796.000000,252016
2023-09-18,3795.800049,3810.000000,3771.250000,3797.899902,3797.899902,114208
2023-09-20,3789.949951,3789.949951,3715.500000,3729.399902,3729.399902,182671
2023-09-21,3747.000000,3775.000000,3679.000000,3686.949951,3686.949951,191005
2023-09-22,3687.000000,3717.550049,3653.949951,3689.100098,3689.100098,148096
2023-09-25,3700.000000,3702.949951,3656.199951,3664.100098,3664.100098,112473
2023-09-26,3664.100098,3680.949951,3625.000000,3633.600098,3633.600098,170690
2023-09-27,3650.000000,3669.000000,3625.000000,3640.699951,3640.699951,427214
2023-09-28,3692.000000,3692.000000,3651.000000,3671.050049,3671.050049,451168
2023-09-29,3671.050049,3698.000000,3651.300049,3675.600098,3675.600098,321455
2023-10-03,3675.399902,3740.250000,3616.000000,3725.699951,3725.699951,235045
2023-10-04,3760.000000,3909.949951,3760.000000,3872.949951,3872.949951,1737108
2023-10-05,3880.000000,3938.399902,3842.050049,3861.500000,3861.500000,607632
2023-10-06,3860.000000,3890.800049,3786.750000,3833.949951,3833.949951,345055
2023-10-09,3809.600098,3818.000000,3771.000000,3798.600098,3798.600098,278929
2023-10-10,3809.949951,3829.850098,3775.550049,3793.800049,3793.800049,284836
2023-10-11,3812.500000,3889.000000,3804.300049,3852.050049,3852.050049,304828
2023-10-12,3874.800049,3890.000000,3820.300049,3862.750000,3862.750000,226262
2023-10-13,3853.949951,3941.000000,3836.050049,3935.850098,3935.850098,554574
2023-10-16,3825.050049,3873.899902,3772.750000,3856.800049,3856.800049,1102582
2023-10-17,3879.149902,3885.000000,3834.300049,3842.850098,3842.850098,394330
2023-10-18,3842.850098,3853.100098,3776.250000,3795.949951,3795.949951,356321
2023-10-19,3790.000000,3790.000000,3746.850098,3766.850098,3766.850098,168075
2023-10-20,3760.050049,3780.949951,3742.100098,3749.500000,3749.500000,200038
2023-10-23,3750.050049,3768.000000,3641.350098,3668.949951,3668.949951,297128
2023-10-25,3685.000000,3755.000000,3620.100098,3740.550049,3740.550049,333022
2023-10-26,3728.050049,3731.949951,3662.000000,3684.649902,3684.649902,289964
2023-10-27,3700.000000,3758.000000,3651.000000,3665.449951,3665.449951,365480
2023-10-30,3686.699951,3688.000000,3624.250000,3646.649902,3646.649902,254298
2023-10-31,3657.649902,3671.250000,3620.000000,3633.399902,3633.399902,820386
2023-11-01,3637.500000,3660.600098,3621.000000,3639.449951,3639.449951,242467
2023-11-02,3639.000000,3677.949951,3624.149902,3647.449951,3647.449951,216100
2023-11-03,3667.600098,3667.600098,3621.250000,3649.699951,3649.699951,316179
2023-11-06,3654.550049,3692.899902,3635.300049,3649.550049,3649.550049,277254
2023-11-07,3649.500000,3667.949951,3636.000000,3653.300049,3653.300049,287032
2023-11-08,3658.000000,3727.949951,3658.000000,3712.399902,3712.399902,246719
2023-11-09,3733.899902,3765.000000,3725.000000,3747.600098,3747.600098,248748
2023-11-10,3750.000000,3800.000000,3738.550049,3798.399902,3798.399902,205429
2023-11-13,3809.949951,3819.800049,3740.199951,3798.449951,3798.449951,166502
2023-11-15,3810.000000,3814.949951,3750.100098,3791.949951,3791.949951,372291
2023-11-16,3795.000000,3800.000000,3765.000000,3790.250000,3790.250000,148945
2023-11-17,3794.949951,3843.000000,3780.000000,3810.899902,3810.899902,266479
2023-11-20,3810.899902,3833.000000,3771.699951,3792.899902,3792.899902,252998
2023-11-21,3796.000000,3842.000000,3796.000000,3814.949951,3814.949951,196060
2023-11-22,3820.000000,3873.850098,3812.350098,3838.250000,3838.250000,200608
2023-11-23,3848.000000,3865.000000,3798.949951,3844.399902,3844.399902,201012
2023-11-24,3820.000000,3869.000000,3799.000000,3842.899902,3842.899902,96391
2023-11-28,3815.000000,3934.000000,3815.000000,3912.149902,3912.149902,449705
2023-11-29,3915.000000,3937.000000,3841.000000,3861.500000,3861.500000,333845
2023-11-30,3878.000000,3962.000000,3834.000000,3949.750000,3949.750000,698850
2023-12-01,3969.649902,3995.000000,3931.149902,3988.399902,3988.399902,380041
2023-12-04,4000.000000,4049.000000,3950.050049,3967.100098,3967.100098,389629
2023-12-05,3950.000000,4041.000000,3949.000000,4039.550049,4039.550049,443420
2023-12-06,4039.550049,4175.000000,4039.000000,4137.149902,4137.149902,861085
2023-12-07,4140.049805,4206.000000,4095.000000,4115.450195,4115.450195,414582
2023-12-08,4155.950195,4170.000000,4027.649902,4070.649902,4070.649902,495575
2023-12-11,4070.649902,4075.000000,4025.050049,4069.750000,4069.750000,239939
2023-12-12,4080.899902,4100.000000,4038.100098,4075.399902,4075.399902,349447
2023-12-13,4075.000000,4075.399902,3945.100098,4033.050049,4033.050049,388573
2023-12-14,4044.949951,4081.000000,3996.050049,4070.050049,4070.050049,264682
2023-12-15,4085.000000,4097.899902,4017.000000,4045.649902,4045.649902,300270
2023-12-18,4045.000000,4079.800049,4000.000000,4010.149902,4010.149902,221527
2023-12-19,4010.000000,4048.949951,3990.250000,4021.350098,4021.350098,185004
2023-12-20,4011.000000,4046.449951,3905.000000,3965.899902,3965.899902,244858
